사용일,구분,역명,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00,1:00
일요일,외선순환,구로디지털단지,0,0,0,0,0,23,22,24,42,55,53,55,55,58,54,51,49,59,48,45,42,43,39,59,0,0
평일,내선순환,구의,22,0,0,0,0,14,23,33,70,45,29,34,36,40,40,43,43,39,48,38,30,40,40,27,22,0
평일,외선순환,구의,10,0,0,0,0,24,21,49,55,33,26,35,36,36,35,38,41,46,59,49,38,42,48,25,10,0
토요일,내선순환,구의,0,0,0,0,0,12,21,20,28,41,40,49,52,51,48,52,47,46,46,34,33,37,40,69,0,0
토요일,외선순환,구의,0,0,0,0,0,32,15,17,35,26,33,38,52,55,55,61,54,52,49,41,38,45,38,30,0,0
일요일,내선순환,구의,0,0,0,0,0,10,15,14,25,34,28,38,39,41,42,47,42,51,55,36,30,25,27,29,0,0
일요일,외선순환,구의,0,0,0,0,0,15,10,11,27,25,25,36,45,43,42,44,44,41,38,36,35,35,33,23,0,0
평일,신도림,까치산,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
평일,까치산,까치산,1,0,0,0,0,5,8,21,31,14,10,8,8,8,7,8,9,13,16,12,7,6,7,5,1,0
토요일,신도림,까치산,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
토요일,까치산,까치산,0,0,0,0,0,4,4,5,8,9,8,10,10,11,10,9,10,12,10,8,5,5,6,5,0,0
일요일,신도림,까치산,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
일요일,까치산,까치산,0,0,0,0,0,3,3,3,5,8,8,7,8,8,8,8,8,8,7,6,5,5,5,4,0,0
평일,내선순환,낙성대,35,0,0,0,0,28,23,40,63,38,36,38,49,58,63,81,87,107,136,108,82,108,131,67,35,0
평일,외선순환,낙성대,23,0,0,0,0,82,68,131,179,105,81,65,62,68,55,53,56,53,71,58,45,50,53,41,23,0
토요일,내선순환,낙성대,0,0,0,0,0,29,18,15,26,29,40,51,65,77,79,77,85,88,92,65,68,92,103,88,0,0
토요일,외선순환,낙성대,0,0,0,0,0,57,55,48,85,94,87,93,88,97,86,75,69,67,53,47,41,43,53,64,0,0
일요일,내선순환,낙성대,0,0,0,0,0,27,16,12,19,29,37,36,44,56,61,61,75,73,84,65,59,70,73,53,0,0
일요일,외선순환,낙성대,0,0,0,0,0,34,33,36,63,80,70,77,75,78,70,62,55,60,47,41,36,31,29,34,0,0
평일,내선순환,당산,15,0,0,0,0,29,35,75,130,78,62,60,61,61,53,47,52,55,77,60,36,43,42,35,15,0
평일,외선순환,당산,24,0,0,0,0,26,38,66,79,32,32,35,37,45,43,47,56,69,104,75,68,80,100,64,24,0
토요일,내선순환,당산,0,0,0,0,0,20,25,27,47,53,63,67,79,92,78,66,73,73,63,50,42,42,50,44,0,0
토요일,외선순환,당산,0,0,0,0,0,36,28,23,28,32,41,48,56,57,64,69,61,73,66,55,67,71,88,103,0,0
일요일,내선순환,당산,0,0,0,0,0,12,14,23,42,45,54,57,65,75,68,65,59,62,53,41,32,30,31,30,0,0
일요일,외선순환,당산,0,0,0,0,0,41,26,15,21,33,37,38,44,47,45,52,58,65,63,56,49,57,54,42,0,0
평일,내선순환,대림,14,0,0,0,0,91,48,69,98,53,37,40,53,57,56,58,68,86,98,73,50,58,68,40,14,0
평일,외선순환,대림,43,0,0,0,0,38,39,79,115,66,60,51,47,54,48,50,50,54,85,76,59,77,72,64,43,0
토요일,내선순환,대림,0,0,0,0,0,68,30,25,43,41,47,60,67,79,72,70,73,72,67,50,42,54,54,47,0,0
토요일,외선순환,대림,0,0,0,0,0,32,29,30,46,64,54,67,65,69,74,69,58,69,62,56,56,57,98,100,0,0
일요일,내선순환,대림,0,0,0,0,0,46,23,18,31,41,44,42,56,62,64,61,64,59,60,49,39,38,36,26,0,0
일요일,외선순환,대림,0,0,0,0,0,21,22,24,40,53,51,54,54,57,56,54,53,61,52,49,46,48,45,69,0,0
평일,신도림,도림천,10,0,0,0,0,7,11,14,23,16,13,12,13,17,17,19,27,35,66,66,39,39,40,32,10,0
평일,까치산,도림천,2,0,0,0,0,27,32,74,94,48,28,21,22,18,16,15,16,22,26,16,10,8,8,6,2,0
토요일,신도림,도림천,0,0,0,0,0,5,9,8,12,12,13,14,19,21,23,26,32,36,35,30,24,28,31,32,0,0
토요일,까치산,도림천,0,0,0,0,0,22,18,17,27,29,29,28,31,30,24,22,22,24,18,13,9,8,8,6,0,0
일요일,신도림,도림천,0,0,0,0,0,4,6,5,7,9,12,11,13,14,16,20,24,29,27,25,20,21,24,20,0,0
일요일,까치산,도림천,0,0,0,0,0,14,11,10,17,25,24,23,23,24,21,17,17,16,12,10,8,7,6,4,0,0
평일,내선순환,동대문역사문화공원,12,0,0,0,0,15,24,34,65,34,29,35,37,45,43,47,50,55,70,52,34,47,50,41,12,0
평일,외선순환,동대문역사문화공원,11,0,0,0,0,13,20,60,78,42,34,39,34,36,34,35,33,40,54,36,33,31,40,22,11,0
토요일,내선순환,동대문역사문화공원,0,0,0,0,0,18,20,19,32,27,31,46,51,52,50,60,57,58,50,40,45,47,56,51,0,0
토요일,외선순환,동대문역사문화공원,0,0,0,0,0,13,14,16,28,34,40,47,56,54,58,58,43,53,50,38,34,33,33,38,0,0
일요일,내선순환,동대문역사문화공원,0,0,0,0,0,13,11,14,31,25,24,34,37,46,51,47,49,51,48,40,36,36,32,33,0,0
일요일,외선순환,동대문역사문화공원,0,0,0,0,0,6,9,9,21,30,29,42,46,46,42,49,37,44,41,28,23,22,21,20,0,0
평일,내선순환,뚝섬,11,0,0,0,0,23,22,35,62,29,22,32,33,37,39,42,45,51,60,43,27,36,42,32,11,0
평일,외선순환,뚝섬,10,0,0,0,0,10,16,43,52,37,31,35,34,34,34,35,30,35,57,45,40,34,42,23,10,0
토요일,내선순환,뚝섬,0,0,0,0,0,19,19,16,25,25,27,41,46,46,43,52,49,51,52,34,35,38,41,37,0,0
토요일,외선순환,뚝섬,0,0,0,0,0,11,12,16,29,30,38,42,49,50,59,47,41,46,39,36,34,34,35,43,0,0
일요일,내선순환,뚝섬,0,0,0,0,0,14,12,9,19,25,21,34,32,35,37,48,44,47,57,36,29,27,27,23,0,0
일요일,외선순환,뚝섬,0,0,0,0,0,9,8,11,29,25,27,36,47,42,39,42,34,40,32,29,27,27,25,28,0,0
평일,내선순환,문래,20,0,0,0,0,24,37,70,126,75,60,58,56,61,54,50,55,59,79,65,43,54,52,44,20,0
평일,외선순환,문래,24,0,0,0,0,37,50,85,98,40,35,41,42,50,47,50,59,75,112,76,66,79,93,61,24,0
토요일,내선순환,문래,0,0,0,0,0,18,26,27,46,53,56,63,75,77,76,67,70,70,65,49,49,46,58,56,0,0
토요일,외선순환,문래,0,0,0,0,0,42,33,26,35,39,49,56,63,64,70,72,65,76,65,54,66,69,86,91,0,0
일요일,내선순환,문래,0,0,0,0,0,11,16,20,38,42,49,51,63,65,65,62,56,65,55,45,35,36,40,33,0,0
일요일,외선순환,문래,0,0,0,0,0,44,31,18,27,41,43,45,49,51,50,53,59,66,61,55,48,56,54,39,0,0
평일,내선순환,방배,37,0,0,0,0,28,21,40,57,36,39,45,54,67,68,91,93,118,167,120,93,129,141,66,37,0
평일,외선순환,방배,24,0,0,0,0,85,64,127,186,122,85,71,65,73,60,59,59,55,71,60,45,48,50,40,24,0
토요일,내선순환,방배,0,0,0,0,0,40,18,17,25,31,42,54,71,83,85,85,89,97,96,69,76,99,104,93,0,0
토요일,외선순환,방배,0,0,0,0,0,56,52,42,78,96,94,92,90,106,91,83,77,67,56,50,41,40,48,58,0,0
일요일,내선순환,방배,0,0,0,0,0,28,18,14,21,32,37,39,47,57,60,64,79,71,78,65,63,72,72,55,0,0
일요일,외선순환,방배,0,0,0,0,0,31,28,31,57,73,64,78,73,79,72,61,53,63,49,40,34,29,26,31,0,0
평일,내선순환,봉천,28,0,0,0,0,26,25,43,68,37,31,35,46,54,57,72,79,99,119,93,69,90,113,61,28,0
평일,외선순환,봉천,23,0,0,0,0,76,59,111,150,92,71,58,55,60,50,47,48,47,65,58,44,52,50,41,23,0
토요일,내선순환,봉천,0,0,0,0,0,22,18,16,27,27,36,50,61,74,72,74,78,84,82,60,60,81,89,78,0,0
토요일,외선순환,봉천,0,0,0,0,0,54,48,44,71,86,73,83,76,80,78,67,58,60,51,42,41,41,62,61,0,0
일요일,내선순환,봉천,0,0,0,0,0,19,16,12,20,27,36,37,44,54,58,59,68,68,74,57,51,59,61,44,0,0
일요일,외선순환,봉천,0,0,0,0,0,37,28,33,54,71,64,65,65,67,60,54,49,56,45,39,35,33,32,35,0,0
평일,내선순환,사당,39,0,0,0,0,26,22,39,62,38,39,39,50,61,63,83,87,111,144,114,85,118,141,73,39,0
평일,외선순환,사당,25,0,0,0,0,85,65,129,191,120,87,73,65,75,60,59,59,55,71,59,43,47,50,40,25,0
토요일,내선순환,사당,0,0,0,0,0,27,18,15,26,30,40,53,67,76,81,82,85,95,94,67,73,99,108,96,0,0
토요일,외선순환,사당,0,0,0,0,0,53,54,44,82,96,94,93,93,103,94,81,77,67,55,50,42,41,49,60,0,0
일요일,내선순환,사당,0,0,0,0,0,25,17,12,19,29,38,36,46,56,62,62,77,79,86,69,64,76,75,62,0,0
일요일,외선순환,사당,0,0,0,0,0,30,29,31,59,75,65,76,75,77,73,62,54,63,50,40,34,30,27,32,0,0
평일,내선순환,삼성,15,0,0,0,0,19,23,55,100,65,41,43,44,50,45,53,52,61,75,52,40,53,50,23,15,0
평일,외선순환,삼성,22,0,0,0,0,14,25,28,34,25,23,30,35,38,38,44,50,52,87,75,58,71,74,50,22,0
토요일,내선순환,삼성,0,0,0,0,0,22,15,17,27,40,42,53,59,61,61,59,64,73,70,47,51,53,50,51,0,0
토요일,외선순환,삼성,0,0,0,0,0,13,24,19,26,26,30,37,43,56,52,65,61,53,50,45,38,46,49,52,0,0
일요일,내선순환,삼성,0,0,0,0,0,10,11,12,20,33,31,35,42,47,49,53,59,56,53,43,42,40,38,29,0,0
일요일,외선순환,삼성,0,0,0,0,0,9,14,13,25,26,25,34,33,40,43,45,49,45,43,38,32,33,29,24,0,0
평일,내선순환,상왕십리,13,0,0,0,0,20,24,39,72,37,30,36,40,44,44,48,50,57,68,51,32,43,47,39,13,0
평일,외선순환,상왕십리,13,0,0,0,0,15,20,57,78,46,38,45,41,42,41,42,37,45,66,49,47,40,50,27,13,0
토요일,내선순환,상왕십리,0,0,0,0,0,19,20,20,35,29,33,49,57,53,53,63,57,58,49,39,42,44,52,46,0,0
토요일,외선순환,상왕십리,0,0,0,0,0,16,14,18,31,37,42,63,64,63,68,66,47,56,59,42,39,38,40,45,0,0
일요일,내선순환,상왕십리,0,0,0,0,0,14,13,13,33,26,25,36,40,49,54,50,50,52,49,38,34,33,30,29,0,0
일요일,외선순환,상왕십리,0,0,0,0,0,10,10,10,24,31,31,62,53,54,47,60,40,45,53,34,30,29,28,27,0,0
평일,내선순환,서울대입구,31,0,0,0,0,20,23,40,64,36,31,35,46,54,58,74,82,102,123,97,73,97,117,61,31,0
평일,외선순환,서울대입구,24,0,0,0,0,77,64,124,165,99,75,62,60,65,53,51,54,52,70,58,45,54,53,43,24,0
토요일,내선순환,서울대입구,0,0,0,0,0,18,17,15,26,26,37,49,62,73,75,73,81,83,85,61,62,84,92,81,0,0
토요일,외선순환,서울대입구,0,0,0,0,0,54,53,45,80,90,83,88,83,90,83,72,63,65,52,47,41,43,59,70,0,0
일요일,내선순환,서울대입구,0,0,0,0,0,17,16,12,19,26,35,36,43,54,59,59,70,70,77,60,53,62,65,49,0,0
일요일,외선순환,서울대입구,0,0,0,0,0,33,32,34,60,76,69,71,72,74,66,59,53,59,47,41,35,33,32,38,0,0
평일,내선순환,서초,35,0,0,0,0,26,21,39,58,37,40,46,55,68,68,89,94,116,162,116,91,129,140,63,35,0
평일,외선순환,서초,23,0,0,0,0,82,60,118,175,120,81,70,68,74,62,63,60,56,73,66,46,51,51,41,23,0
토요일,내선순환,서초,0,0,0,0,0,39,17,17,25,32,42,55,72,81,84,83,90,96,93,68,75,98,102,97,0,0
토요일,외선순환,서초,0,0,0,0,0,54,50,41,76,94,93,90,90,107,92,85,80,66,59,53,43,42,49,57,0,0
일요일,내선순환,서초,0,0,0,0,0,27,17,14,21,32,35,41,47,57,59,64,79,71,78,64,63,73,72,55,0,0
일요일,외선순환,서초,0,0,0,0,0,35,27,28,53,69,62,80,73,83,69,63,58,63,53,44,35,31,26,31,0,0
평일,내선순환,선릉,20,0,0,0,0,21,24,56,96,69,48,51,54,62,59,70,69,81,104,74,53,71,66,31,20,0
평일,외선순환,선릉,20,0,0,0,0,33,31,44,61,45,33,39,41,47,43,48,51,51,81,70,51,65,68,49,20,0
토요일,내선순환,선릉,0,0,0,0,0,25,16,18,28,41,47,57,70,73,73,70,75,81,82,53,57,62,59,59,0,0
토요일,외선순환,선릉,0,0,0,0,0,25,29,22,35,42,54,58,60,79,67,75,64,51,44,39,34,41,45,50,0,0
일요일,내선순환,선릉,0,0,0,0,0,14,13,13,21,35,35,40,48,52,56,60,68,59,62,48,46,44,44,31,0,0
일요일,외선순환,선릉,0,0,0,0,0,18,16,15,31,39,40,54,49,54,53,48,44,45,41,33,29,29,27,24,0,0
평일,내선순환,성수,25,0,0,0,0,11,15,23,45,30,26,28,38,39,40,43,46,40,64,50,37,49,47,33,25,0
평일,외선순환,성수,10,0,0,0,0,9,16,43,54,38,33,33,34,33,33,35,30,34,54,43,38,33,41,23,10,0
토요일,내선순환,성수,0,0,0,0,0,9,14,14,21,30,30,42,47,48,42,55,48,50,54,38,37,40,43,88,0,0
토요일,외선순환,성수,0,0,0,0,0,10,12,16,28,31,37,41,49,49,59,46,41,44,38,35,30,37,36,44,0,0
일요일,내선순환,성수,0,0,0,0,0,8,10,10,20,24,21,36,34,37,38,50,41,52,58,36,29,27,30,35,0,0
일요일,외선순환,성수,0,0,0,0,0,8,8,10,29,25,27,35,47,41,39,41,33,39,31,28,27,28,25,28,0,0
평일,성수,성수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
평일,신설동,성수,4,0,0,0,0,1,5,7,21,13,10,9,10,11,11,13,14,19,29,21,17,16,15,10,4,0
토요일,성수,성수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
토요일,신설동,성수,0,0,0,0,0,1,4,6,6,8,8,11,15,16,14,13,17,17,16,11,11,13,14,8,0,0
일요일,성수,성수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
일요일,신설동,성수,0,0,0,0,0,1,3,4,4,6,10,9,12,13,13,9,11,11,11,10,11,10,12,8,0,0
평일,내선순환,시청,10,0,0,0,0,19,25,49,94,48,36,43,41,45,42,44,44,46,53,39,26,39,42,36,10,0
평일,외선순환,시청,21,0,0,0,0,10,13,30,38,28,27,36,34,40,41,43,45,57,104,67,63,58,67,41,21,0
토요일,내선순환,시청,0,0,0,0,0,24,19,21,33,33,41,45,58,60,54,50,55,53,45,34,36,42,57,52,0,0
토요일,외선순환,시청,0,0,0,0,0,10,11,11,19,24,33,41,55,55,65,72,66,74,78,66,69,62,58,73,0,0
일요일,내선순환,시청,0,0,0,0,0,21,13,15,32,34,32,41,46,45,46,43,48,41,40,33,29,34,33,31,0,0
일요일,외선순환,시청,0,0,0,0,0,6,8,6,16,21,25,35,44,48,46,53,49,58,56,43,39,36,33,30,0,0
평일,성수,신답,1,0,0,0,0,7,7,14,30,15,9,9,8,12,9,11,12,17,17,10,7,6,6,4,1,0
평일,신설동,신답,2,0,0,0,0,3,5,8,22,14,11,10,10,11,10,10,12,15,18,13,10,10,9,6,2,0
토요일,성수,신답,0,0,0,0,0,6,5,6,10,9,9,11,11,12,12,14,15,16,15,8,5,4,4,3,0,0
토요일,신설동,신답,0,0,0,0,0,2,4,6,8,9,10,12,14,15,13,11,14,12,12,8,7,9,9,5,0,0
일요일,성수,신답,0,0,0,0,0,3,3,3,5,5,7,7,10,11,10,12,11,15,12,6,5,3,3,2,0,0
일요일,신설동,신답,0,0,0,0,0,2,2,4,5,7,10,11,11,15,12,9,8,9,7,7,7,7,8,5,0,0
평일,내선순환,신당,14,0,0,0,0,18,25,37,71,37,30,36,40,44,45,48,50,57,68,52,33,44,48,41,14,0
평일,외선순환,신당,12,0,0,0,0,17,21,63,79,47,37,45,40,41,41,41,37,44,63,46,43,39,47,25,12,0
토요일,내선순환,신당,0,0,0,0,0,22,20,20,35,30,33,49,57,54,52,64,58,58,50,40,43,45,53,48,0,0
토요일,외선순환,신당,0,0,0,0,0,17,14,19,31,37,44,64,64,63,68,66,45,57,56,41,37,35,36,40,0,0
일요일,내선순환,신당,0,0,0,0,0,14,13,13,33,27,25,36,39,48,53,51,50,53,50,39,35,34,31,31,0,0
일요일,외선순환,신당,0,0,0,0,0,11,10,10,24,32,33,57,52,52,48,58,40,44,51,32,28,27,25,24,0,0
평일,내선순환,신대방,19,0,0,0,0,52,33,58,93,49,34,37,49,53,56,62,71,90,97,76,55,68,85,47,19,0
평일,외선순환,신대방,33,0,0,0,0,53,45,85,111,69,60,51,50,54,44,46,47,48,77,71,50,63,61,54,33,0
토요일,내선순환,신대방,0,0,0,0,0,41,23,20,35,33,42,52,63,75,71,69,75,75,74,52,49,66,70,59,0,0
토요일,외선순환,신대방,0,0,0,0,0,37,38,33,55,69,60,72,66,72,72,63,57,61,54,46,46,47,76,79,0,0
일요일,내선순환,신대방,0,0,0,0,0,27,21,15,25,32,41,40,51,57,61,59,65,63,65,49,43,46,48,32,0,0
일요일,외선순환,신대방,0,0,0,0,0,23,24,26,44,59,54,57,55,59,54,51,48,57,46,42,39,39,36,48,0,0
평일,내선순환,신도림,22,0,0,0,0,24,36,74,132,74,63,58,57,62,55,51,52,58,78,64,45,53,53,45,22,0
평일,외선순환,신도림,46,0,0,0,0,29,32,69,102,60,56,48,46,52,47,51,55,61,91,77,62,85,79,71,46,0
토요일,내선순환,신도림,0,0,0,0,0,18,26,27,46,53,59,63,76,78,75,66,71,70,62,50,48,47,60,55,0,0
토요일,외선순환,신도림,0,0,0,0,0,25,24,27,40,53,48,65,63,66,72,70,64,70,66,60,57,63,114,108,0,0
일요일,내선순환,신도림,0,0,0,0,0,11,16,21,39,44,50,51,63,66,66,63,56,63,57,44,36,36,41,34,0,0
일요일,외선순환,신도림,0,0,0,0,0,17,19,21,33,46,47,53,52,55,54,52,66,62,58,50,47,52,49,75,0,0
평일,신도림,신도림,10,0,0,0,0,7,11,17,25,15,14,13,14,17,18,20,28,40,70,64,39,40,41,33,10,0
평일,까치산,신도림,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
토요일,신도림,신도림,0,0,0,0,0,6,9,8,13,12,14,15,19,21,23,27,32,37,35,31,24,28,32,32,0,0
토요일,까치산,신도림,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
일요일,신도림,신도림,0,0,0,0,0,4,6,5,7,9,12,11,13,14,16,21,24,29,28,25,20,22,24,20,0,0
일요일,까치산,신도림,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
평일,내선순환,신림,22,0,0,0,0,40,30,53,83,44,32,35,46,54,54,65,71,91,100,77,58,73,93,51,22,0
평일,외선순환,신림,25,0,0,0,0,70,56,104,141,85,67,56,54,58,48,48,48,47,67,61,46,54,52,44,25,0
토요일,내선순환,신림,0,0,0,0,0,33,20,19,31,30,39,51,61,73,70,70,74,77,73,53,51,70,76,64,0,0
토요일,외선순환,신림,0,0,0,0,0,50,46,41,67,82,70,81,72,78,76,66,59,60,51,43,42,42,65,65,0,0
일요일,내선순환,신림,0,0,0,0,0,28,17,14,23,29,38,37,47,55,58,58,65,63,65,50,45,49,53,35,0,0
일요일,외선순환,신림,0,0,0,0,0,31,28,32,52,68,62,62,63,65,58,54,50,57,44,41,36,35,32,38,0,0
평일,성수,신설동,2,0,0,0,0,4,5,7,18,10,7,7,8,11,9,9,11,15,13,10,6,6,6,4,2,0
평일,신설동,신설동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
토요일,성수,신설동,0,0,0,0,0,3,3,3,6,5,7,7,9,10,10,12,13,14,14,8,5,5,4,4,0,0
토요일,신설동,신설동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
일요일,성수,신설동,0,0,0,0,0,2,2,2,3,4,5,6,7,8,8,10,11,13,12,5,4,3,3,3,0,0
일요일,신설동,신설동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
평일,신도림,신정네거리,2,0,0,0,0,9,9,12,18,11,9,7,8,8,8,8,10,13,24,21,11,12,11,10,2,0
평일,까치산,신정네거리,2,0,0,0,0,20,21,49,68,31,19,15,15,13,12,11,13,18,21,13,9,8,7,5,2,0
토요일,신도림,신정네거리,0,0,0,0,0,6,7,5,9,9,8,9,10,10,11,11,12,13,12,10,8,9,8,8,0,0
토요일,까치산,신정네거리,0,0,0,0,0,17,13,12,20,22,19,20,23,21,18,16,16,20,14,11,8,7,7,6,0,0
일요일,신도림,신정네거리,0,0,0,0,0,4,5,3,5,6,7,6,8,8,8,9,10,11,9,8,7,6,6,5,0,0
일요일,까치산,신정네거리,0,0,0,0,0,11,8,7,12,19,17,17,16,17,15,13,13,13,11,8,7,6,6,4,0,0
평일,내선순환,신천,11,0,0,0,0,24,26,64,120,70,43,42,41,46,40,45,42,45,50,34,28,35,34,17,11,0
평일,외선순환,신천,21,0,0,0,0,18,27,31,37,27,22,31,35,38,39,44,48,53,83,71,55,66,75,51,21,0
토요일,내선순환,신천,0,0,0,0,0,26,16,20,32,47,49,59,61,60,56,50,49,52,47,32,35,39,38,42,0,0
토요일,외선순환,신천,0,0,0,0,0,16,26,17,27,25,30,37,44,56,54,62,62,54,49,45,36,45,47,48,0,0
일요일,내선순환,신천,0,0,0,0,0,14,11,13,23,39,37,44,46,47,43,41,37,43,43,34,32,30,31,24,0,0
일요일,외선순환,신천,0,0,0,0,0,13,14,13,24,26,24,34,37,40,44,46,48,44,42,36,31,32,30,24,0,0
평일,내선순환,신촌,10,0,0,0,0,22,29,66,115,58,46,48,46,49,43,39,40,41,46,32,24,36,41,38,10,0
평일,외선순환,신촌,20,0,0,0,0,18,15,25,35,19,19,31,34,40,43,47,51,61,101,71,71,69,79,51,20,0
토요일,내선순환,신촌,0,0,0,0,0,28,21,23,35,37,49,50,61,67,59,52,56,52,41,35,36,41,62,60,0,0
토요일,외선순환,신촌,0,0,0,0,0,21,12,12,13,18,28,34,52,52,63,70,68,78,74,62,69,68,70,77,0,0
일요일,내선순환,신촌,0,0,0,0,0,25,14,18,31,32,39,44,53,52,48,44,47,43,41,35,32,35,38,35,0,0
일요일,외선순환,신촌,0,0,0,0,0,18,10,7,11,18,23,30,40,42,46,53,56,62,57,45,44,40,41,30,0,0
평일,내선순환,아현,10,0,0,0,0,20,28,61,118,55,41,47,44,49,44,43,43,45,46,33,26,38,42,38,10,0
평일,외선순환,아현,20,0,0,0,0,13,13,27,38,27,26,37,36,40,42,43,46,57,106,70,63,58,67,42,20,0
토요일,내선순환,아현,0,0,0,0,0,27,22,23,36,36,47,48,65,67,60,53,58,55,45,36,37,42,62,58,0,0
