사용일,호선,구분,역명,a
토요일,2호선,외선,뚝섬,36
토요일,2호선,내선,뚝섬,35
토요일,2호선,외선,뚝섬,34
토요일,2호선,내선,뚝섬,38
토요일,2호선,외선,뚝섬,34
토요일,2호선,내선,뚝섬,41
토요일,2호선,외선,뚝섬,35
토요일,2호선,내선,뚝섬,37
토요일,2호선,외선,뚝섬,43
토요일,2호선,내선,뚝섬,0
토요일,2호선,외선,뚝섬,0
일요일,2호선,내선,뚝섬,14
일요일,2호선,외선,뚝섬,9
일요일,2호선,내선,뚝섬,12
일요일,2호선,외선,뚝섬,8
일요일,2호선,내선,뚝섬,9
일요일,2호선,외선,뚝섬,11
일요일,2호선,내선,뚝섬,19
일요일,2호선,외선,뚝섬,29
일요일,2호선,내선,뚝섬,25
일요일,2호선,외선,뚝섬,25
일요일,2호선,내선,뚝섬,21
일요일,2호선,외선,뚝섬,27
일요일,2호선,내선,뚝섬,34
일요일,2호선,외선,뚝섬,36
일요일,2호선,내선,뚝섬,32
일요일,2호선,외선,뚝섬,47
일요일,2호선,내선,뚝섬,35
일요일,2호선,외선,뚝섬,42
일요일,2호선,내선,뚝섬,37
일요일,2호선,외선,뚝섬,39
일요일,2호선,내선,뚝섬,48
일요일,2호선,외선,뚝섬,42
일요일,2호선,내선,뚝섬,44
일요일,2호선,외선,뚝섬,34
일요일,2호선,내선,뚝섬,47
일요일,2호선,외선,뚝섬,40
일요일,2호선,내선,뚝섬,57
일요일,2호선,외선,뚝섬,32
일요일,2호선,내선,뚝섬,36
일요일,2호선,외선,뚝섬,29
일요일,2호선,내선,뚝섬,29
일요일,2호선,외선,뚝섬,27
일요일,2호선,내선,뚝섬,27
일요일,2호선,외선,뚝섬,27
일요일,2호선,내선,뚝섬,27
일요일,2호선,외선,뚝섬,25
일요일,2호선,내선,뚝섬,23
일요일,2호선,외선,뚝섬,28
일요일,2호선,내선,뚝섬,0
일요일,2호선,외선,뚝섬,0
평일,2호선,내선,문래,24
평일,2호선,외선,문래,37
평일,2호선,내선,문래,37
평일,2호선,외선,문래,50
평일,2호선,내선,문래,70
평일,2호선,외선,문래,85
평일,2호선,내선,문래,126
평일,2호선,외선,문래,98
평일,2호선,내선,문래,75
평일,2호선,외선,문래,40
평일,2호선,내선,문래,60
평일,2호선,외선,문래,35
평일,2호선,내선,문래,58
평일,2호선,외선,문래,41
평일,2호선,내선,문래,56
평일,2호선,외선,문래,42
평일,2호선,내선,문래,61
평일,2호선,외선,문래,50
평일,2호선,내선,문래,54
평일,2호선,외선,문래,47
평일,2호선,내선,문래,50
평일,2호선,외선,문래,50
평일,2호선,내선,문래,55
평일,2호선,외선,문래,59
평일,2호선,내선,문래,59
평일,2호선,외선,문래,75
평일,2호선,내선,문래,79
평일,2호선,외선,문래,112
평일,2호선,내선,문래,65
평일,2호선,외선,문래,76
평일,2호선,내선,문래,43
평일,2호선,외선,문래,66
평일,2호선,내선,문래,54
평일,2호선,외선,문래,79
평일,2호선,내선,문래,52
평일,2호선,외선,문래,93
평일,2호선,내선,문래,44
평일,2호선,외선,문래,61
평일,2호선,내선,문래,20
평일,2호선,외선,문래,24
토요일,2호선,내선,문래,18
토요일,2호선,외선,문래,42
토요일,2호선,내선,문래,26
토요일,2호선,외선,문래,33
토요일,2호선,내선,문래,27
토요일,2호선,외선,문래,26
토요일,2호선,내선,문래,46
토요일,2호선,외선,문래,35
토요일,2호선,내선,문래,53
토요일,2호선,외선,문래,39
토요일,2호선,내선,문래,56
토요일,2호선,외선,문래,49
토요일,2호선,내선,문래,63
토요일,2호선,외선,문래,56
토요일,2호선,내선,문래,75
토요일,2호선,외선,문래,63
토요일,2호선,내선,문래,77
토요일,2호선,외선,문래,64
토요일,2호선,내선,문래,76
토요일,2호선,외선,문래,70
토요일,2호선,내선,문래,67
토요일,2호선,외선,문래,72
토요일,2호선,내선,문래,70
토요일,2호선,외선,문래,65
토요일,2호선,내선,문래,70
토요일,2호선,외선,문래,76
토요일,2호선,내선,문래,65
토요일,2호선,외선,문래,65
토요일,2호선,내선,문래,49
토요일,2호선,외선,문래,54
토요일,2호선,내선,문래,49
토요일,2호선,외선,문래,66
토요일,2호선,내선,문래,46
토요일,2호선,외선,문래,69
토요일,2호선,내선,문래,58
토요일,2호선,외선,문래,86
토요일,2호선,내선,문래,56
토요일,2호선,외선,문래,91
토요일,2호선,내선,문래,0
토요일,2호선,외선,문래,0
일요일,2호선,내선,문래,11
일요일,2호선,외선,문래,44
일요일,2호선,내선,문래,16
일요일,2호선,외선,문래,31
일요일,2호선,내선,문래,20
일요일,2호선,외선,문래,18
일요일,2호선,내선,문래,38
일요일,2호선,외선,문래,27
일요일,2호선,내선,문래,42
일요일,2호선,외선,문래,41
일요일,2호선,내선,문래,49
일요일,2호선,외선,문래,43
일요일,2호선,내선,문래,51
일요일,2호선,외선,문래,45
일요일,2호선,내선,문래,63
일요일,2호선,외선,문래,49
일요일,2호선,내선,문래,65
일요일,2호선,외선,문래,51
일요일,2호선,내선,문래,65
일요일,2호선,외선,문래,50
일요일,2호선,내선,문래,62
일요일,2호선,외선,문래,53
일요일,2호선,내선,문래,56
일요일,2호선,외선,문래,59
일요일,2호선,내선,문래,65
일요일,2호선,외선,문래,66
일요일,2호선,내선,문래,55
일요일,2호선,외선,문래,61
일요일,2호선,내선,문래,45
일요일,2호선,외선,문래,55
일요일,2호선,내선,문래,35
일요일,2호선,외선,문래,48
일요일,2호선,내선,문래,36
일요일,2호선,외선,문래,56
일요일,2호선,내선,문래,40
일요일,2호선,외선,문래,54
일요일,2호선,내선,문래,33
일요일,2호선,외선,문래,39
일요일,2호선,내선,문래,0
일요일,2호선,외선,문래,0
평일,2호선,내선,방배,28
평일,2호선,외선,방배,85
평일,2호선,내선,방배,21
평일,2호선,외선,방배,64
평일,2호선,내선,방배,40
평일,2호선,외선,방배,127
평일,2호선,내선,방배,57
평일,2호선,외선,방배,186
평일,2호선,내선,방배,36
평일,2호선,외선,방배,122
평일,2호선,내선,방배,39
평일,2호선,외선,방배,85
평일,2호선,내선,방배,45
평일,2호선,외선,방배,71
평일,2호선,내선,방배,54
평일,2호선,외선,방배,65
평일,2호선,내선,방배,67
평일,2호선,외선,방배,73
평일,2호선,내선,방배,68
평일,2호선,외선,방배,60
평일,2호선,내선,방배,91
평일,2호선,외선,방배,59
평일,2호선,내선,방배,93
평일,2호선,외선,방배,59
평일,2호선,내선,방배,118
평일,2호선,외선,방배,55
평일,2호선,내선,방배,167
평일,2호선,외선,방배,71
평일,2호선,내선,방배,120
평일,2호선,외선,방배,60
평일,2호선,내선,방배,93
평일,2호선,외선,방배,45
평일,2호선,내선,방배,129
평일,2호선,외선,방배,48
평일,2호선,내선,방배,141
평일,2호선,외선,방배,50
평일,2호선,내선,방배,66
평일,2호선,외선,방배,40
평일,2호선,내선,방배,37
평일,2호선,외선,방배,24
토요일,2호선,내선,방배,40
토요일,2호선,외선,방배,56
토요일,2호선,내선,방배,18
토요일,2호선,외선,방배,52
토요일,2호선,내선,방배,17
토요일,2호선,외선,방배,42
토요일,2호선,내선,방배,25
토요일,2호선,외선,방배,78
토요일,2호선,내선,방배,31
토요일,2호선,외선,방배,96
토요일,2호선,내선,방배,42
토요일,2호선,외선,방배,94
토요일,2호선,내선,방배,54
토요일,2호선,외선,방배,92
토요일,2호선,내선,방배,71
토요일,2호선,외선,방배,90
토요일,2호선,내선,방배,83
토요일,2호선,외선,방배,106
토요일,2호선,내선,방배,85
토요일,2호선,외선,방배,91
토요일,2호선,내선,방배,85
토요일,2호선,외선,방배,83
토요일,2호선,내선,방배,89
토요일,2호선,외선,방배,77
토요일,2호선,내선,방배,97
토요일,2호선,외선,방배,67
토요일,2호선,내선,방배,96
토요일,2호선,외선,방배,56
토요일,2호선,내선,방배,69
토요일,2호선,외선,방배,50
토요일,2호선,내선,방배,76
토요일,2호선,외선,방배,41
토요일,2호선,내선,방배,99
토요일,2호선,외선,방배,40
토요일,2호선,내선,방배,104
토요일,2호선,외선,방배,48
토요일,2호선,내선,방배,93
토요일,2호선,외선,방배,58
토요일,2호선,내선,방배,0
토요일,2호선,외선,방배,0
일요일,2호선,내선,방배,28
일요일,2호선,외선,방배,31
일요일,2호선,내선,방배,18
일요일,2호선,외선,방배,28
일요일,2호선,내선,방배,14
일요일,2호선,외선,방배,31
일요일,2호선,내선,방배,21
일요일,2호선,외선,방배,57
일요일,2호선,내선,방배,32
일요일,2호선,외선,방배,73
일요일,2호선,내선,방배,37
일요일,2호선,외선,방배,64
일요일,2호선,내선,방배,39
일요일,2호선,외선,방배,78
일요일,2호선,내선,방배,47
일요일,2호선,외선,방배,73
일요일,2호선,내선,방배,57
일요일,2호선,외선,방배,79
일요일,2호선,내선,방배,60
일요일,2호선,외선,방배,72
일요일,2호선,내선,방배,64
일요일,2호선,외선,방배,61
일요일,2호선,내선,방배,79
일요일,2호선,외선,방배,53
일요일,2호선,내선,방배,71
일요일,2호선,외선,방배,63
일요일,2호선,내선,방배,78
일요일,2호선,외선,방배,49
일요일,2호선,내선,방배,65
일요일,2호선,외선,방배,40
일요일,2호선,내선,방배,63
일요일,2호선,외선,방배,34
일요일,2호선,내선,방배,72
일요일,2호선,외선,방배,29
일요일,2호선,내선,방배,72
일요일,2호선,외선,방배,26
일요일,2호선,내선,방배,55
일요일,2호선,외선,방배,31
일요일,2호선,내선,방배,0
일요일,2호선,외선,방배,0
평일,2호선,내선,봉천,26
평일,2호선,외선,봉천,76
평일,2호선,내선,봉천,25
평일,2호선,외선,봉천,59
평일,2호선,내선,봉천,43
평일,2호선,외선,봉천,111
평일,2호선,내선,봉천,68
평일,2호선,외선,봉천,150
평일,2호선,내선,봉천,37
평일,2호선,외선,봉천,92
평일,2호선,내선,봉천,31
평일,2호선,외선,봉천,71
평일,2호선,내선,봉천,35
평일,2호선,외선,봉천,58
평일,2호선,내선,봉천,46
평일,2호선,외선,봉천,55
평일,2호선,내선,봉천,54
평일,2호선,외선,봉천,60
평일,2호선,내선,봉천,57
평일,2호선,외선,봉천,50
평일,2호선,내선,봉천,72
평일,2호선,외선,봉천,47
평일,2호선,내선,봉천,79
평일,2호선,외선,봉천,48
평일,2호선,내선,봉천,99
평일,2호선,외선,봉천,47
평일,2호선,내선,봉천,119
평일,2호선,외선,봉천,65
평일,2호선,내선,봉천,93
평일,2호선,외선,봉천,58
평일,2호선,내선,봉천,69
평일,2호선,외선,봉천,44
평일,2호선,내선,봉천,90
평일,2호선,외선,봉천,52
평일,2호선,내선,봉천,113
평일,2호선,외선,봉천,50
평일,2호선,내선,봉천,61
평일,2호선,외선,봉천,41
평일,2호선,내선,봉천,28
평일,2호선,외선,봉천,23
토요일,2호선,내선,봉천,22
토요일,2호선,외선,봉천,54
토요일,2호선,내선,봉천,18
토요일,2호선,외선,봉천,48
토요일,2호선,내선,봉천,16
토요일,2호선,외선,봉천,44
토요일,2호선,내선,봉천,27
토요일,2호선,외선,봉천,71
토요일,2호선,내선,봉천,27
토요일,2호선,외선,봉천,86
토요일,2호선,내선,봉천,36
토요일,2호선,외선,봉천,73
토요일,2호선,내선,봉천,50
토요일,2호선,외선,봉천,83
토요일,2호선,내선,봉천,61
토요일,2호선,외선,봉천,76
토요일,2호선,내선,봉천,74
토요일,2호선,외선,봉천,80
토요일,2호선,내선,봉천,72
토요일,2호선,외선,봉천,78
토요일,2호선,내선,봉천,74
토요일,2호선,외선,봉천,67
토요일,2호선,내선,봉천,78
토요일,2호선,외선,봉천,58
토요일,2호선,내선,봉천,84
토요일,2호선,외선,봉천,60
토요일,2호선,내선,봉천,82
토요일,2호선,외선,봉천,51
토요일,2호선,내선,봉천,60
토요일,2호선,외선,봉천,42
토요일,2호선,내선,봉천,60
토요일,2호선,외선,봉천,41
토요일,2호선,내선,봉천,81
토요일,2호선,외선,봉천,41
토요일,2호선,내선,봉천,89
토요일,2호선,외선,봉천,62
토요일,2호선,내선,봉천,78
토요일,2호선,외선,봉천,61
토요일,2호선,내선,봉천,0
토요일,2호선,외선,봉천,0
일요일,2호선,내선,봉천,19
일요일,2호선,외선,봉천,37
일요일,2호선,내선,봉천,16
일요일,2호선,외선,봉천,28
일요일,2호선,내선,봉천,12
일요일,2호선,외선,봉천,33
일요일,2호선,내선,봉천,20
일요일,2호선,외선,봉천,54
일요일,2호선,내선,봉천,27
일요일,2호선,외선,봉천,71
일요일,2호선,내선,봉천,36
일요일,2호선,외선,봉천,64
일요일,2호선,내선,봉천,37
일요일,2호선,외선,봉천,65
일요일,2호선,내선,봉천,44
일요일,2호선,외선,봉천,65
일요일,2호선,내선,봉천,54
일요일,2호선,외선,봉천,67
일요일,2호선,내선,봉천,58
일요일,2호선,외선,봉천,60
일요일,2호선,내선,봉천,59
일요일,2호선,외선,봉천,54
일요일,2호선,내선,봉천,68
일요일,2호선,외선,봉천,49
일요일,2호선,내선,봉천,68
일요일,2호선,외선,봉천,56
일요일,2호선,내선,봉천,74
일요일,2호선,외선,봉천,45
일요일,2호선,내선,봉천,57
일요일,2호선,외선,봉천,39
일요일,2호선,내선,봉천,51
일요일,2호선,외선,봉천,35
일요일,2호선,내선,봉천,59
일요일,2호선,외선,봉천,33
일요일,2호선,내선,봉천,61
일요일,2호선,외선,봉천,32
일요일,2호선,내선,봉천,44
일요일,2호선,외선,봉천,35
일요일,2호선,내선,봉천,0
일요일,2호선,외선,봉천,0
평일,2호선,내선,사당,26
평일,2호선,외선,사당,85
평일,2호선,내선,사당,22
평일,2호선,외선,사당,65
평일,2호선,내선,사당,39
평일,2호선,외선,사당,129
평일,2호선,내선,사당,62
평일,2호선,외선,사당,191
평일,2호선,내선,사당,38
평일,2호선,외선,사당,120
평일,2호선,내선,사당,39
평일,2호선,외선,사당,87
평일,2호선,내선,사당,39
평일,2호선,외선,사당,73
평일,2호선,내선,사당,50
평일,2호선,외선,사당,65
평일,2호선,내선,사당,61
평일,2호선,외선,사당,75
평일,2호선,내선,사당,63
평일,2호선,외선,사당,60
평일,2호선,내선,사당,83
평일,2호선,외선,사당,59
평일,2호선,내선,사당,87
평일,2호선,외선,사당,59
평일,2호선,내선,사당,111
평일,2호선,외선,사당,55
평일,2호선,내선,사당,144
평일,2호선,외선,사당,71
평일,2호선,내선,사당,114
평일,2호선,외선,사당,59
평일,2호선,내선,사당,85
평일,2호선,외선,사당,43
평일,2호선,내선,사당,118
평일,2호선,외선,사당,47
평일,2호선,내선,사당,141
평일,2호선,외선,사당,50
평일,2호선,내선,사당,73
평일,2호선,외선,사당,40
평일,2호선,내선,사당,39
평일,2호선,외선,사당,25
토요일,2호선,내선,사당,27
토요일,2호선,외선,사당,53
토요일,2호선,내선,사당,18
토요일,2호선,외선,사당,54
토요일,2호선,내선,사당,15
토요일,2호선,외선,사당,44
토요일,2호선,내선,사당,26
토요일,2호선,외선,사당,82
토요일,2호선,내선,사당,30
토요일,2호선,외선,사당,96
토요일,2호선,내선,사당,40
토요일,2호선,외선,사당,94
토요일,2호선,내선,사당,53
토요일,2호선,외선,사당,93
토요일,2호선,내선,사당,67
토요일,2호선,외선,사당,93
토요일,2호선,내선,사당,76
토요일,2호선,외선,사당,103
토요일,2호선,내선,사당,81
토요일,2호선,외선,사당,94
토요일,2호선,내선,사당,82
토요일,2호선,외선,사당,81
토요일,2호선,내선,사당,85
토요일,2호선,외선,사당,77
토요일,2호선,내선,사당,95
토요일,2호선,외선,사당,67
토요일,2호선,내선,사당,94
토요일,2호선,외선,사당,55
토요일,2호선,내선,사당,67
토요일,2호선,외선,사당,50
토요일,2호선,내선,사당,73
토요일,2호선,외선,사당,42
토요일,2호선,내선,사당,99
토요일,2호선,외선,사당,41
토요일,2호선,내선,사당,108
토요일,2호선,외선,사당,49
토요일,2호선,내선,사당,96
토요일,2호선,외선,사당,60
토요일,2호선,내선,사당,0
토요일,2호선,외선,사당,0
일요일,2호선,내선,사당,25
일요일,2호선,외선,사당,30
일요일,2호선,내선,사당,17
일요일,2호선,외선,사당,29
일요일,2호선,내선,사당,12
일요일,2호선,외선,사당,31
일요일,2호선,내선,사당,19
일요일,2호선,외선,사당,59
일요일,2호선,내선,사당,29
일요일,2호선,외선,사당,75
일요일,2호선,내선,사당,38
일요일,2호선,외선,사당,65
일요일,2호선,내선,사당,36
일요일,2호선,외선,사당,76
일요일,2호선,내선,사당,46
일요일,2호선,외선,사당,75
일요일,2호선,내선,사당,56
일요일,2호선,외선,사당,77
일요일,2호선,내선,사당,62
일요일,2호선,외선,사당,73
일요일,2호선,내선,사당,62
일요일,2호선,외선,사당,62
일요일,2호선,내선,사당,77
일요일,2호선,외선,사당,54
일요일,2호선,내선,사당,79
일요일,2호선,외선,사당,63
일요일,2호선,내선,사당,86
일요일,2호선,외선,사당,50
일요일,2호선,내선,사당,69
일요일,2호선,외선,사당,40
일요일,2호선,내선,사당,64
일요일,2호선,외선,사당,34
일요일,2호선,내선,사당,76
일요일,2호선,외선,사당,30
일요일,2호선,내선,사당,75
일요일,2호선,외선,사당,27
일요일,2호선,내선,사당,62
일요일,2호선,외선,사당,32
일요일,2호선,내선,사당,0
일요일,2호선,외선,사당,0
평일,2호선,내선,삼성,19
평일,2호선,외선,삼성,14
평일,2호선,내선,삼성,23
평일,2호선,외선,삼성,25
평일,2호선,내선,삼성,55
평일,2호선,외선,삼성,28
평일,2호선,내선,삼성,100
평일,2호선,외선,삼성,34
평일,2호선,내선,삼성,65
평일,2호선,외선,삼성,25
평일,2호선,내선,삼성,41
평일,2호선,외선,삼성,23
평일,2호선,내선,삼성,43
평일,2호선,외선,삼성,30
평일,2호선,내선,삼성,44
평일,2호선,외선,삼성,35
평일,2호선,내선,삼성,50
평일,2호선,외선,삼성,38
평일,2호선,내선,삼성,45
평일,2호선,외선,삼성,38
평일,2호선,내선,삼성,53
평일,2호선,외선,삼성,44
평일,2호선,내선,삼성,52
평일,2호선,외선,삼성,50
평일,2호선,내선,삼성,61
평일,2호선,외선,삼성,52
평일,2호선,내선,삼성,75
평일,2호선,외선,삼성,87
평일,2호선,내선,삼성,52
평일,2호선,외선,삼성,75
평일,2호선,내선,삼성,40
평일,2호선,외선,삼성,58
평일,2호선,내선,삼성,53
평일,2호선,외선,삼성,71
평일,2호선,내선,삼성,50
평일,2호선,외선,삼성,74
평일,2호선,내선,삼성,23
평일,2호선,외선,삼성,50
평일,2호선,내선,삼성,15
평일,2호선,외선,삼성,22
토요일,2호선,내선,삼성,22
토요일,2호선,외선,삼성,13
토요일,2호선,내선,삼성,15
토요일,2호선,외선,삼성,24
토요일,2호선,내선,삼성,17
토요일,2호선,외선,삼성,19
토요일,2호선,내선,삼성,27
토요일,2호선,외선,삼성,26
토요일,2호선,내선,삼성,40
토요일,2호선,외선,삼성,26
토요일,2호선,내선,삼성,42
토요일,2호선,외선,삼성,30
토요일,2호선,내선,삼성,53
토요일,2호선,외선,삼성,37
토요일,2호선,내선,삼성,59
토요일,2호선,외선,삼성,43
토요일,2호선,내선,삼성,61
토요일,2호선,외선,삼성,56
토요일,2호선,내선,삼성,61
토요일,2호선,외선,삼성,52
토요일,2호선,내선,삼성,59
토요일,2호선,외선,삼성,65
토요일,2호선,내선,삼성,64
토요일,2호선,외선,삼성,61
토요일,2호선,내선,삼성,73
토요일,2호선,외선,삼성,53
토요일,2호선,내선,삼성,70
토요일,2호선,외선,삼성,50
토요일,2호선,내선,삼성,47
토요일,2호선,외선,삼성,45
토요일,2호선,내선,삼성,51
토요일,2호선,외선,삼성,38
토요일,2호선,내선,삼성,53
토요일,2호선,외선,삼성,46
토요일,2호선,내선,삼성,50
토요일,2호선,외선,삼성,49
토요일,2호선,내선,삼성,51
토요일,2호선,외선,삼성,52
토요일,2호선,내선,삼성,0
토요일,2호선,외선,삼성,0
일요일,2호선,내선,삼성,10
일요일,2호선,외선,삼성,9
일요일,2호선,내선,삼성,11
일요일,2호선,외선,삼성,14
일요일,2호선,내선,삼성,12
일요일,2호선,외선,삼성,13
일요일,2호선,내선,삼성,20
일요일,2호선,외선,삼성,25
일요일,2호선,내선,삼성,33
일요일,2호선,외선,삼성,26
일요일,2호선,내선,삼성,31
일요일,2호선,외선,삼성,25
일요일,2호선,내선,삼성,35
일요일,2호선,외선,삼성,34
일요일,2호선,내선,삼성,42
일요일,2호선,외선,삼성,33
일요일,2호선,내선,삼성,47
일요일,2호선,외선,삼성,40
일요일,2호선,내선,삼성,49
일요일,2호선,외선,삼성,43
일요일,2호선,내선,삼성,53
일요일,2호선,외선,삼성,45
일요일,2호선,내선,삼성,59
일요일,2호선,외선,삼성,49
일요일,2호선,내선,삼성,56
일요일,2호선,외선,삼성,45
일요일,2호선,내선,삼성,53
일요일,2호선,외선,삼성,43
일요일,2호선,내선,삼성,43
일요일,2호선,외선,삼성,38
일요일,2호선,내선,삼성,42
일요일,2호선,외선,삼성,32
일요일,2호선,내선,삼성,40
일요일,2호선,외선,삼성,33
일요일,2호선,내선,삼성,38
일요일,2호선,외선,삼성,29
일요일,2호선,내선,삼성,29
일요일,2호선,외선,삼성,24
일요일,2호선,내선,삼성,0
일요일,2호선,외선,삼성,0
평일,2호선,내선,상왕십리,20
평일,2호선,외선,상왕십리,15
평일,2호선,내선,상왕십리,24
평일,2호선,외선,상왕십리,20
평일,2호선,내선,상왕십리,39
평일,2호선,외선,상왕십리,57
평일,2호선,내선,상왕십리,72
평일,2호선,외선,상왕십리,78
평일,2호선,내선,상왕십리,37
평일,2호선,외선,상왕십리,46
평일,2호선,내선,상왕십리,30
평일,2호선,외선,상왕십리,38
평일,2호선,내선,상왕십리,36
평일,2호선,외선,상왕십리,45
평일,2호선,내선,상왕십리,40
평일,2호선,외선,상왕십리,41
평일,2호선,내선,상왕십리,44
평일,2호선,외선,상왕십리,42
평일,2호선,내선,상왕십리,44
평일,2호선,외선,상왕십리,41
평일,2호선,내선,상왕십리,48
평일,2호선,외선,상왕십리,42
평일,2호선,내선,상왕십리,50
평일,2호선,외선,상왕십리,37
평일,2호선,내선,상왕십리,57
평일,2호선,외선,상왕십리,45
평일,2호선,내선,상왕십리,68
평일,2호선,외선,상왕십리,66
평일,2호선,내선,상왕십리,51
평일,2호선,외선,상왕십리,49
평일,2호선,내선,상왕십리,32
평일,2호선,외선,상왕십리,47
평일,2호선,내선,상왕십리,43
평일,2호선,외선,상왕십리,40
평일,2호선,내선,상왕십리,47
평일,2호선,외선,상왕십리,50
평일,2호선,내선,상왕십리,39
평일,2호선,외선,상왕십리,27
평일,2호선,내선,상왕십리,13
평일,2호선,외선,상왕십리,13
토요일,2호선,내선,상왕십리,19
토요일,2호선,외선,상왕십리,16
토요일,2호선,내선,상왕십리,20
토요일,2호선,외선,상왕십리,14
토요일,2호선,내선,상왕십리,20
토요일,2호선,외선,상왕십리,18
토요일,2호선,내선,상왕십리,35
토요일,2호선,외선,상왕십리,31
토요일,2호선,내선,상왕십리,29
토요일,2호선,외선,상왕십리,37
토요일,2호선,내선,상왕십리,33
토요일,2호선,외선,상왕십리,42
토요일,2호선,내선,상왕십리,49
토요일,2호선,외선,상왕십리,63
토요일,2호선,내선,상왕십리,57
토요일,2호선,외선,상왕십리,64
토요일,2호선,내선,상왕십리,53
토요일,2호선,외선,상왕십리,63
토요일,2호선,내선,상왕십리,53
토요일,2호선,외선,상왕십리,68
토요일,2호선,내선,상왕십리,63
토요일,2호선,외선,상왕십리,66
토요일,2호선,내선,상왕십리,57
토요일,2호선,외선,상왕십리,47
토요일,2호선,내선,상왕십리,58
토요일,2호선,외선,상왕십리,56
토요일,2호선,내선,상왕십리,49
토요일,2호선,외선,상왕십리,59
토요일,2호선,내선,상왕십리,39
토요일,2호선,외선,상왕십리,42
토요일,2호선,내선,상왕십리,42
토요일,2호선,외선,상왕십리,39
토요일,2호선,내선,상왕십리,44
토요일,2호선,외선,상왕십리,38
토요일,2호선,내선,상왕십리,52
토요일,2호선,외선,상왕십리,40
토요일,2호선,내선,상왕십리,46
토요일,2호선,외선,상왕십리,45
토요일,2호선,내선,상왕십리,0
토요일,2호선,외선,상왕십리,0
일요일,2호선,내선,상왕십리,14
일요일,2호선,외선,상왕십리,10
일요일,2호선,내선,상왕십리,13
일요일,2호선,외선,상왕십리,10
일요일,2호선,내선,상왕십리,13
일요일,2호선,외선,상왕십리,10
일요일,2호선,내선,상왕십리,33
일요일,2호선,외선,상왕십리,24
일요일,2호선,내선,상왕십리,26
일요일,2호선,외선,상왕십리,31
일요일,2호선,내선,상왕십리,25
일요일,2호선,외선,상왕십리,31
일요일,2호선,내선,상왕십리,36
일요일,2호선,외선,상왕십리,62
일요일,2호선,내선,상왕십리,40
일요일,2호선,외선,상왕십리,53
일요일,2호선,내선,상왕십리,49
일요일,2호선,외선,상왕십리,54
일요일,2호선,내선,상왕십리,54
일요일,2호선,외선,상왕십리,47
일요일,2호선,내선,상왕십리,50
일요일,2호선,외선,상왕십리,60
일요일,2호선,내선,상왕십리,50
일요일,2호선,외선,상왕십리,40
일요일,2호선,내선,상왕십리,52
일요일,2호선,외선,상왕십리,45
일요일,2호선,내선,상왕십리,49
일요일,2호선,외선,상왕십리,53
일요일,2호선,내선,상왕십리,38
일요일,2호선,외선,상왕십리,34
일요일,2호선,내선,상왕십리,34
일요일,2호선,외선,상왕십리,30
일요일,2호선,내선,상왕십리,33
일요일,2호선,외선,상왕십리,29
일요일,2호선,내선,상왕십리,30
일요일,2호선,외선,상왕십리,28
일요일,2호선,내선,상왕십리,29
일요일,2호선,외선,상왕십리,27
일요일,2호선,내선,상왕십리,0
일요일,2호선,외선,상왕십리,0
평일,2호선,내선,서울대입구,20
평일,2호선,외선,서울대입구,77
평일,2호선,내선,서울대입구,23
평일,2호선,외선,서울대입구,64
평일,2호선,내선,서울대입구,40
평일,2호선,외선,서울대입구,124
평일,2호선,내선,서울대입구,64
평일,2호선,외선,서울대입구,165
평일,2호선,내선,서울대입구,36
평일,2호선,외선,서울대입구,99
평일,2호선,내선,서울대입구,31
평일,2호선,외선,서울대입구,75
평일,2호선,내선,서울대입구,35
평일,2호선,외선,서울대입구,62
평일,2호선,내선,서울대입구,46
평일,2호선,외선,서울대입구,60
평일,2호선,내선,서울대입구,54
평일,2호선,외선,서울대입구,65
평일,2호선,내선,서울대입구,58
평일,2호선,외선,서울대입구,53
평일,2호선,내선,서울대입구,74
평일,2호선,외선,서울대입구,51
평일,2호선,내선,서울대입구,82
평일,2호선,외선,서울대입구,54
평일,2호선,내선,서울대입구,102
평일,2호선,외선,서울대입구,52
평일,2호선,내선,서울대입구,123
평일,2호선,외선,서울대입구,70
평일,2호선,내선,서울대입구,97
평일,2호선,외선,서울대입구,58
평일,2호선,내선,서울대입구,73
평일,2호선,외선,서울대입구,45
평일,2호선,내선,서울대입구,97
평일,2호선,외선,서울대입구,54
평일,2호선,내선,서울대입구,117
평일,2호선,외선,서울대입구,53
평일,2호선,내선,서울대입구,61
평일,2호선,외선,서울대입구,43
평일,2호선,내선,서울대입구,31
평일,2호선,외선,서울대입구,24
토요일,2호선,내선,서울대입구,18
토요일,2호선,외선,서울대입구,54
토요일,2호선,내선,서울대입구,17
토요일,2호선,외선,서울대입구,53
토요일,2호선,내선,서울대입구,15
토요일,2호선,외선,서울대입구,45
토요일,2호선,내선,서울대입구,26
토요일,2호선,외선,서울대입구,80
토요일,2호선,내선,서울대입구,26
토요일,2호선,외선,서울대입구,90
토요일,2호선,내선,서울대입구,37
토요일,2호선,외선,서울대입구,83
토요일,2호선,내선,서울대입구,49
토요일,2호선,외선,서울대입구,88
토요일,2호선,내선,서울대입구,62
토요일,2호선,외선,서울대입구,83
토요일,2호선,내선,서울대입구,73
토요일,2호선,외선,서울대입구,90
토요일,2호선,내선,서울대입구,75
토요일,2호선,외선,서울대입구,83
토요일,2호선,내선,서울대입구,73
